1,1,I_STATUS_OFF,Off,yes
2,2,I_STATUS_SLEEPING,Sleeping (auto-shutdown),no
3,3,I_STATUS_STARTING,Starting up,yes
4,4,I_STATUS_MPPT,Tracking power point,yes
5,5,I_STATUS_THROTTLED,Forced power reduction,yes
6,6,I_STATUS_SHUTTING_DOWN,Shutting down,no
7,7,I_STATUS_FAULT,One or more faults exist,yes
8,8,I_STATUS_STANDBY,Standby (service on unit)*might be in Events,yes
9,9,I_STATUS_NO_BUSINIT,No SolarNet communication,yes
A,10,I_STATUS_NO_COMM_INV,No communication with inverter,yes
B,11,I_STATUS_SN_OVERCURRENT,Overcurrent on SolarNet plug detected,yes
C,12,I_STATUS_BOOTLOAD,Inverter is being updated,yes
D,13,I_STATUS_AFCI,AFCI Event,yes
